,symbol,company_name,series,face_value,purpose,ex_date,record_date,bc_start_date,bc_end_date
346,MBAPL,Madhya Bharat Agro Products Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.50 PER SHARE,14-Sep-2017,,18-Sep-2017,23-Sep-2017
347,PAR,Par Drugs and Chemicals Limited,SM,,INTERIM DIVIDEND - RS 1.25 PER SHARE,22-Nov-2019,25-Nov-2019,,
348,HINDCON,Hindcon Chemicals Limited,SM,10,ANNUAL GENERAL MEETING,14-Aug-2018,,18-Aug-2018,24-Aug-2018
349,THEJO,Thejo Engineering Limited,SM,10,BONUS 1:1,11-Sep-2013,12-Sep-2013,,
350,AVSL,AVSL Industries Limited,SM,10,EXTRA ORDINARY GENERAL MEETING,13-Nov-2019,,15-Nov-2019,26-Nov-2019
351,AVSL,AVSL Industries Limited,SM,10,ANNUAL GENERAL MEETIN,19-Sep-2017,,21-Sep-2017,27-Sep-2017
352,NITIRAJ,Nitiraj Engineers Limited,SM,10,BONUS 1:4,30-Sep-2019,01-Oct-2019,,
353,EIFFL,Euro India Fresh Foods Limited,SM,10,ANNUAL GENERAL MEETING,15-Sep-2017,,19-Sep-2017,25-Sep-2017
354,FOCUS,Focus Lighting and Fixtures Limited,SM,10,BONUS 2:1,22-Jul-2019,23-Jul-2019,,
355,TRANSWIND,Transwind Infrastructures Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
356,TARACHAND,Tara Chand Logistic Solutions Limited,SM,10,ANNUAL GENERAL MEETING,13-Aug-2019,,16-Aug-2019,23-Aug-2019
